S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Stable;SAD;SD;Real;Imaginary;MeanB
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;2,667777777777778;-0,03582721630483567;0,00000000000000e+00;-5,49514152057545413
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;2,667777777777778;-0,01928696805869238;0,00000000000000e+00;-5,49514152057545413
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;2,667777777777778;-0,01814561548925944;2,79955166698174e-03;-5,49514152057545413
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;2,667777777777778;-0,01814561548925944;-2,79955166698174e-03;-5,49514152057545413
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;2,667777777777778;-0,01690340777510291;4,88039591250905e-03;-5,49514152057545413
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;2,667777777777778;-0,01690340777510291;-4,88039591250905e-03;-5,49514152057545413
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;2,667777777777778;-0,01643059507411703;0,00000000000000e+00;-5,49514152057545413
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;2,667777777777778;-0,01633223190639638;1,61222062880758e-03;-5,49514152057545413
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;2,667777777777778;-0,01633223190639638;-1,61222062880758e-03;-5,49514152057545413
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;2,667777777777778;-0,01444115704913596;3,81503138490547e-03;-5,49514152057545413
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;2,667777777777778;-0,01444115704913596;-3,81503138490547e-03;-5,49514152057545413
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;2,667777777777778;-0,01361714631813982;0,00000000000000e+00;-5,49514152057545413
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;2,667777777777778;-0,01170746833248633;0,00000000000000e+00;-5,49514152057545413
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-4,62123348299706560;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-4,10184245942549008;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-3,70397852888213563;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-2,90396432465112531;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-2,44701811984623596;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-2,31501013553331880;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-2,02006043457860462;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-1,76165498470564197;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-1,65313395406901065;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-1,56271391712173280;7,25096928001618e-03;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-1,56271391712173280;-7,25096928001618e-03;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-1,43028750637896507;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-1,31722394859651382;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,68178775670735381;1,11491829886297e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,68178775670735381;-1,11491829886297e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-1,18419253359815113;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-1,08424940124495417;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,96722055162621623;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,92879591237473369;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,64554603388514709;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,55507270644606643;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,52886922541271275;0,00000000000000e+00;-4,43294810833558550
