S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;TargetAbd;Eigenvalue;Stable;Type
5;1;0;1;0;0,0;0,11734693877551020;0;0;0;None;Quadratic;FALSE;Normal;0,89188579702749848;1,026944375234792;-0,918500418402701;TRUE;Minimized
5;1;0;1;0;0,0;0,12244897959183673;0;0;0;None;Quadratic;FALSE;Normal;0,88741234713234007;1,172151449887535;-1,083869424622556;TRUE;Minimized
5;1;0;1;0;0,0;0,12755102040816327;0;0;0;None;Quadratic;FALSE;Normal;0,52904626587405801;1,107327188991407;-0,973516647173318;TRUE;Minimized
5;1;0;1;0;0,0;0,13265306122448978;0;0;0;None;Quadratic;FALSE;Normal;0,59701993758790195;0,980412664802947;-0,784248871242305;TRUE;Minimized
5;1;0;1;0;0,0;0,13775510204081631;0;0;0;None;Quadratic;FALSE;Normal;0,36640865518711507;0,904159182761241;-0,691189437795735;TRUE;Minimized
5;1;0;1;0;0,0;0,14285714285714285;0;0;0;None;Quadratic;FALSE;Normal;0,47610969678498805;1,113544955677779;-0,890215049920616;TRUE;Minimized
5;1;0;1;0;0,0;0,14795918367346939;0;0;0;None;Quadratic;FALSE;Normal;0,53804024262353778;1,174148713759321;-0,929115482050477;TRUE;Minimized
5;1;0;1;0;0,0;0,15306122448979589;0;0;0;None;Quadratic;FALSE;Normal;0,46337066311389208;1,512715325667341;-1,106993926526593;TRUE;Minimized
5;1;0;1;0;0,0;0,15816326530612243;0;0;0;None;Quadratic;FALSE;Normal;0,17568013467825949;1,144279914298044;-0,814555965297025;TRUE;Minimized
5;1;0;1;0;0,0;0,16326530612244897;0;0;0;None;Quadratic;FALSE;Normal;0,08802355034276843;1,459750349527862;-0,803566198217835;TRUE;Minimized
5;1;0;1;0;0,0;0,16836734693877550;0;0;0;None;Quadratic;FALSE;Normal;0,81187850516289473;1,042857543875955;-0,775445481215816;TRUE;Minimized
5;1;0;1;0;0,0;0,17346938775510204;0;0;0;None;Quadratic;FALSE;Normal;0,15862009976990521;1,050268757200172;-0,793792870142132;TRUE;Minimized
5;1;0;1;0;0,0;0,17857142857142855;0;0;0;None;Quadratic;FALSE;Normal;0,84136591758579016;1,458980337503155;-0,937496798739872;TRUE;Minimized
5;1;0;1;0;0,0;0,18367346938775508;0;0;0;None;Quadratic;FALSE;Normal;0,08067650417797267;1,000854490223316;-0,794253871411798;TRUE;Minimized
5;1;0;1;0;0,0;0,18877551020408162;0;0;0;None;Quadratic;FALSE;Normal;0,31321830977685750;0,900960000368404;-0,686796676631667;TRUE;Minimized
5;1;0;1;0;0,0;0,19387755102040816;0;0;0;None;Quadratic;FALSE;Normal;0,45887477160431445;1,054590636528571;-1,022013447593995;TRUE;Minimized
5;1;0;1;0;0,0;0,19897959183673466;0;0;0;None;Quadratic;FALSE;Normal;0,69247972918674350;1,254457251245422;-0,671028195993891;TRUE;Minimized
5;1;0;1;0;0,0;0,20408163265306120;0;0;0;None;Quadratic;FALSE;Normal;0,56263771699741483;1,240044699795168;-0,918551117767634;TRUE;Minimized
