S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Stable;p
20;1;0;1;0;0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,504437605384737253;TRUE;0,8
20;1;0;1;0;0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,504437605384737253;TRUE;0,9
20;1;0;1;0;0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,504437605384737253;TRUE;1,0
20;1;0;1;0;0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,882388783153146505;FALSE;0,1
20;1;0;1;0;0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,882388783153146505;FALSE;0,2
20;1;0;1;0;0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,882388783153146505;FALSE;0,3
20;1;0;1;0;0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,882388783153146505;FALSE;0,4
20;1;0;1;0;0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,882388783153146505;FALSE;0,5
20;1;0;1;0;0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,882388783153146505;FALSE;0,6
20;1;0;1;0;0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,882388783153146505;FALSE;0,7
20;1;0;1;0;0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,882388783153146505;FALSE;0,8
20;1;0;1;0;0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,882388783153146505;TRUE;0,9
20;1;0;1;0;0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,882388783153146505;TRUE;1,0
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,702807351248338819;FALSE;0,1
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,702807351248338819;FALSE;0,2
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,702807351248338819;FALSE;0,3
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,702807351248338819;FALSE;0,4
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,702807351248338819;FALSE;0,5
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,702807351248338819;FALSE;0,6
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,702807351248338819;FALSE;0,7
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,702807351248338819;FALSE;0,8
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,702807351248338819;TRUE;0,9
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,702807351248338819;TRUE;1,0
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,981055334210395813;FALSE;0,1
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,981055334210395813;FALSE;0,2
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,981055334210395813;FALSE;0,3
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,981055334210395813;FALSE;0,4
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,981055334210395813;FALSE;0,5
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,981055334210395813;FALSE;0,6
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,981055334210395813;TRUE;0,7
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,981055334210395813;TRUE;0,8
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,981055334210395813;TRUE;0,9
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,981055334210395813;TRUE;1,0
20;1;0;1;0;-0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,966522739967331290;FALSE;0,1
