S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Stable;Type
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,07314766990020871;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,07314766990020871;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,49094789242371917;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,49094789242371917;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,06672648154199123;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,06672648154199123;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,18444020440801978;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,18444020440801978;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,69006745703518391;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,69006745703518391;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,02272378280758858;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,02272378280758858;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,50566288782283664;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,50566288782283664;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,51366284512914717;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,51366284512914717;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,79917230806313455;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,79917230806313455;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,56045120535418391;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,56045120535418391;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,88476972142234445;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,88476972142234445;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,36248523695394397;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,36248523695394397;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,18905858206562698;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,18905858206562698;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,25166890490800142;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,25166890490800142;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,44526458368636668;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,44526458368636668;TRUE;Carrying Capacity
