Abd;Equilibrium;Stability;TargetAbd;SpID;MuA;SigmaA
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,292585170340681;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,292585170340681;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,295090180360721;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,295090180360721;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,295090180360721;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,297595190380762;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,297595190380762;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,297595190380762;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,300100200400802;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,300100200400802;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,300100200400802;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,302605210420842;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,302605210420842;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,302605210420842;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,305110220440882;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,305110220440882;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,305110220440882;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,307615230460922;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,307615230460922;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,307615230460922;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,310120240480962;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,310120240480962;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,310120240480962;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,312625250501002;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,312625250501002;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,312625250501002;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,315130260521042;0,5
9,99999999999999e-01;TRUE;TRUE;TRUE;2;0,315130260521042;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,315130260521042;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,317635270541082;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,317635270541082;0,5
