S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;b;TargetAbd;Feasible;Eigenvalue;Stable;Type
3;1;0;1;0;-0,25;0,25;0;0;0,764264264264264;1;-0,287342919163694033;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,765765765765766;1;-0,289879115477738869;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,767267267267267;1;-0,292415369625878996;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,768768768768769;1;-0,294951681981045433;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,770270270270270;1;-0,297488052919380686;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,771771771771772;1;-0,300024482820274996;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,773273273273273;1;-0,302560972066400702;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,774774774774775;1;-0,305097521043745046;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,776276276276276;1;-0,307634130141651474;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,777777777777778;1;-0,310170799752848281;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,779279279279279;1;-0,312707530273493961;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,780780780780781;1;-0,315244322103208685;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,782282282282282;1;-0,317781175645117264;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,783783783783784;1;-0,320318091305882124;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,785285285285285;1;-0,322855069495744051;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,786786786786787;1;-0,325392110628563991;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,788288288288288;1;-0,327929215121862516;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,789789789789790;1;-0,330466383396857355;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,791291291291291;1;-0,333003615878505965;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,792792792792793;1;-0,335540912995547724;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,794294294294294;1;-0,338078275180546950;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,795795795795796;1;-0,340615702869932979;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,797297297297297;1;-0,343153196504046298;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,798798798798799;1;-0,345690756527178122;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,800300300300300;1;-0,348228383387620799;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,801801801801802;1;-0,350766077537707166;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,803303303303303;1;-0,353303839433859512;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,804804804804805;1;-0,355841669536636429;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,806306306306306;1;-0,358379568310775942;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,807807807807808;1;-0,360917536225247748;TRUE;Constrained HOIs
