S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;b;Coexist;TargetAbd;Eigenvalue;Stable;Type
3;1;0;1;0;0,00;0,000000000000000;0;0;1;1,00000000000000e+00;-1,00000000000000e+00;TRUE;Minimized
3;1;0;1;0;0,00;0,555555555555556;0;0;1;2,64497378241718e+00;-2,64497376605080e+00;TRUE;Minimized
3;1;0;1;0;0,00;1,111111111111111;0;0;0;4,07061789171500e+42;-2,88904300275389e+42;TRUE;Minimized
3;1;0;1;0;0,00;1,666666666666667;0;0;0;6,64862527204655e-01;-6,46771683401204e-01;TRUE;Minimized
3;1;0;1;0;0,00;2,222222222222222;0;0;0;2,44297776299955e+00;-2,44295674344813e+00;TRUE;Minimized
3;1;0;1;0;0,00;2,777777777777778;0;0;0;2,02203428249037e+00;-2,02203428191552e+00;TRUE;Minimized
3;1;0;1;0;0,00;3,333333333333333;0;0;0;3,42984056482181e+39;-3,22246237704450e+39;TRUE;Minimized
3;1;0;1;0;0,00;3,888888888888889;0;0;0;6,21359155471195e-01;-6,21359133384224e-01;TRUE;Minimized
3;1;0;1;0;0,00;4,444444444444445;0;0;0;1,79312226070225e+35;-1,54709279443552e+35;TRUE;Minimized
3;1;0;1;0;0,00;5,000000000000000;0;0;1;6,13504446904777e+36;-3,12603488189222e+36;TRUE;Minimized
3;1;0;1;0;0,25;0,000000000000000;0;0;0;9,44093725113966e+36;-8,20518830968676e+36;TRUE;Minimized
3;1;0;1;0;0,25;0,555555555555556;0;0;0;1,13575254946303e+00;-1,13575160272749e+00;TRUE;Minimized
3;1;0;1;0;0,25;1,111111111111111;0;0;0;4,06341382617138e+29;-2,84880565106582e+28;TRUE;Minimized
3;1;0;1;0;0,25;1,666666666666667;0;0;1;1,70460770182844e+00;-1,70460770069790e+00;TRUE;Minimized
3;1;0;1;0;0,25;2,222222222222222;0;0;1;3,78330447777663e+43;-3,47579659143317e+43;TRUE;Minimized
3;1;0;1;0;0,25;2,777777777777778;0;0;0;1,92840291718867e+39;-1,47504692641242e+39;TRUE;Minimized
3;1;0;1;0;0,25;3,333333333333333;0;0;0;8,05826640925543e-01;-8,05826589558495e-01;TRUE;Minimized
3;1;0;1;0;0,25;3,888888888888889;0;0;1;2,99738888083596e-01;-2,99738336086613e-01;TRUE;Minimized
3;1;0;1;0;0,25;4,444444444444445;0;0;1;1,76710907762008e+36;-1,26401072168939e+36;TRUE;Minimized
3;1;0;1;0;0,25;5,000000000000000;0;0;0;7,04914260800022e+30;-1,63347890555312e+30;TRUE;Minimized
3;1;0;1;0;0,50;0,000000000000000;0;0;0;4,60442608118286e+39;-4,52312359981779e+39;TRUE;Minimized
3;1;0;1;0;0,50;0,555555555555556;0;0;1;3,64695620702383e+40;-2,06739078042944e+40;TRUE;Minimized
3;1;0;1;0;0,50;1,111111111111111;0;0;0;2,77563535576906e+30;-9,20175938143026e+29;TRUE;Minimized
3;1;0;1;0;0,50;1,666666666666667;0;0;0;3,53451092491923e+00;-3,53451091756510e+00;TRUE;Minimized
3;1;0;1;0;0,50;2,222222222222222;0;0;1;3,32545245770553e+39;-3,19357402255634e+39;TRUE;Minimized
3;1;0;1;0;0,50;2,777777777777778;0;0;0;2,61540486369945e+36;-2,18548390682959e+36;TRUE;Minimized
3;1;0;1;0;0,50;3,333333333333333;0;0;1;2,38830325753271e+00;-2,38830324505010e+00;TRUE;Minimized
3;1;0;1;0;0,50;3,888888888888889;0;0;1;4,67967600636623e+38;-3,31947233042650e+38;TRUE;Minimized
3;1;0;1;0;0,50;4,444444444444445;0;0;0;1,00652589580344e+42;-3,57981581039085e+41;TRUE;Minimized
3;1;0;1;0;0,50;5,000000000000000;0;0;0;-1,66772630611616e-01;2,14471932401754e-01;FALSE;Minimized
3;1;0;1;0;0,00;0,000000000000000;0;0;1;1,00000000000000e+00;-1,00000000000000e+00;TRUE;Minimized
3;1;0;1;0;0,00;0,555555555555556;0;0;1;7,11437828519711e+38;-1,67335488452656e+37;TRUE;Minimized
3;1;0;1;0;0,00;1,111111111111111;0;0;0;1,79001786298625e+29;-1,33033244001686e+29;TRUE;Minimized
3;1;0;1;0;0,00;1,666666666666667;0;0;0;2,63962700937419e+39;-5,19338623281855e+38;TRUE;Minimized
3;1;0;1;0;0,00;2,222222222222222;0;0;1;1,27664451751728e+00;-1,27664451728580e+00;TRUE;Minimized
3;1;0;1;0;0,00;2,777777777777778;0;0;1;3,22608172872817e+39;-2,79351502257129e+39;TRUE;Minimized
3;1;0;1;0;0,00;3,333333333333333;0;0;0;8,46703410029699e-01;-3,87709873395017e-01;TRUE;Minimized
3;1;0;1;0;0,00;3,888888888888889;0;0;1;2,79986806989759e+43;-8,47008310482396e+42;TRUE;Minimized
3;1;0;1;0;0,00;4,444444444444445;0;0;0;8,61237740605946e-01;5,90576911897873e-01;FALSE;Minimized
3;1;0;1;0;0,00;5,000000000000000;0;0;1;9,39617262384826e+00;-9,19934481030898e+00;TRUE;Minimized
3;1;0;1;0;0,25;0,000000000000000;0;0;0;9,44093725113966e+36;-8,20518830968676e+36;TRUE;Minimized
3;1;0;1;0;0,25;0,555555555555556;0;0;1;1,56950072686657e+43;-7,55737328026065e+42;TRUE;Minimized
3;1;0;1;0;0,25;1,111111111111111;0;0;0;3,20585111513420e+33;-3,03264828258307e+33;TRUE;Minimized
3;1;0;1;0;0,25;1,666666666666667;0;0;1;1,30994788163565e+39;-8,42491084426529e+38;TRUE;Minimized
3;1;0;1;0;0,25;2,222222222222222;0;0;0;3,68540618827210e+36;-7,74875876238389e+35;TRUE;Minimized
3;1;0;1;0;0,25;2,777777777777778;0;0;0;7,06405921483114e-01;-7,06402086505925e-01;TRUE;Minimized
